Garrett Ellison,sapien@arcu.org,2401 A Road,Gjoa Haven,G6E 4R5,NU,Canada
Kato Lee,hendrerit@magna.co.uk,P.O. Box 111, 2509 Morbi Avenue,Arviat,A6N 5H9,NU,Canada
Hope Hill,arcu@arcuVestibulumante.ca,4036 Volutpat Avenue,Arviat,M5C 9M3,NU,Canada
Germane King,nec.orci@purus.edu,P.O. Box 224, 2094 Nec Av.,Cambridge Bay,T3L 7K4,NU,Canada
Hakeem Wise,elit@nuncac.co.uk,415-2649 Malesuada Av.,Gjoa Haven,E1A 2W3,NU,Canada
Aimee Schwartz,sodales.nisi@hendreritidante.com,Ap #284-2480 Ante St.,Cambridge Bay,O8M 7A6,NU,Canada
Hasad Avila,quam@Phaselluslibero.edu,Ap #137-6764 Neque. Street,Pangnirtung,T5B 2V3,NU,Canada
Shay Pace,ligula.Aliquam@urnaNuncquis.com,177-7520 Diam. Rd.,Iqaluit,H1H 8H5,NU,Canada
Kylee Acevedo,mauris@eu.edu,P.O. Box 571, 3712 Ultrices, Av.,Pangnirtung,N8B 1W7,NU,Canada
Armand Bowman,senectus.et.netus@ut.net,922-2856 Accumsan Avenue,Cambridge Bay,P4N 9K2,NU,Canada
Noelani Palmer,sodales.Mauris@Sed.ca,Ap #649-8352 Ridiculus Av.,Cambridge Bay,K1G 4O6,NU,Canada
Michelle Hubbard,eu@Curae;Donectincidunt.org,P.O. Box 128, 642 Ridiculus Rd.,Pangnirtung,E7U 6P0,NU,Canada
Grady Barber,Nam@egestasblanditNam.org,384-592 Cursus Ave,Cambridge Bay,Z8K 6K2,NU,Canada
India Walsh,adipiscing@Namac.co.uk,P.O. Box 643, 281 Eros Av.,Arviat,N4J 7K4,NU,Canada
Hadassah Jackson,Morbi@hendreritaarcu.org,P.O. Box 286, 2263 Quam St.,Gjoa Haven,I3Q 6P6,NU,Canada
Drake Mejia,massa.Suspendisse@blandit.edu,Ap #458-1194 Ante. Av.,Gjoa Haven,I2S 4S7,NU,Canada
Knox Garrett,erat.Vivamus.nisi@mollis.edu,P.O. Box 453, 8815 Venenatis Street,Cambridge Bay,Z5E 9S3,NU,Canada
Ira Burgess,pharetra.Nam.ac@lorem.org,Ap #111-774 Dignissim Street,Pangnirtung,Q6Y 3Z0,NU,Canada
Ramona Hinton,ut.odio@Curabiturconsequat.org,Ap #565-6182 Lacus. Ave,Arviat,D8M 4F3,NU,Canada
Dawn Wooten,ut.lacus.Nulla@egestasa.ca,359-6760 Convallis St.,Iqaluit,U5T 5N8,NU,Canada
